#V_3[V],S_1,S_2,S_3,D(1&2),T,Efficienza,Sig_eps,Contamination (%)
1400,9816,10382,818,3893,52,0.013,0.0018,0.0024
1375,9693,10528,735,3821,40,0.01,0.0016,0.0025
1350,9629,10362,622,3739,51,0.014,0.0019,0.0025
1325,9651,10356,565,3735,66,0.018,0.0022,0.0025
1300,9783,10427,446,3807,61,0.016,0.002,0.0025
