#V_4[V],S_1,S_4,S_3,D(1&3),T,Efficienza,Sig_eps,Contamination (%)
1200,94350,32190,7612,69,38,0.55,0.06,0.097
1250,96520,60068,7586,81,51,0.63,0.054,0.084
1280,94434,88243,7645,66,57,0.86,0.042,0.1
1300,95124,112883,7768,49,38,0.78,0.06,0.14
1330,84318,153234,8092,66,51,0.77,0.052,0.096
1350,96498,151708,7518,55,44,0.8,0.054,0.12
1380,96860,281036,7872,63,48,0.76,0.054,0.11
1400,96971,386147,7471,65,59,0.91,0.036,0.1
